R,C,A,N,Total,T,seed,Tseq_mean,Tseq_std,Tpar_mean,Tpar_std,Speedup,Eficiencia
10,10,10,10,10000,1,11,0.000092,0.000015,0.000117,0.000006,0.786325,0.786325
10,10,10,10,10000,2,11,0.000092,0.000015,0.000141,0.000011,0.652482,0.326241
10,10,10,10,10000,3,11,0.000092,0.000015,0.000161,0.000018,0.571429,0.190476
10,10,10,10,10000,4,11,0.000092,0.000015,0.000141,0.000014,0.652482,0.163121
10,10,10,10,10000,5,11,0.000092,0.000015,0.000161,0.000019,0.571429,0.114286
10,10,10,10,10000,6,11,0.000092,0.000015,0.000202,0.000015,0.455446,0.075908
10,10,10,10,10000,7,11,0.000092,0.000015,0.000222,0.000023,0.414414,0.059202
10,10,10,10,10000,8,11,0.000092,0.000015,0.000336,0.000084,0.273810,0.034226
10,10,10,10,10000,9,11,0.000092,0.000015,0.000487,0.000064,0.188912,0.020990
10,10,10,10,10000,10,11,0.000092,0.000015,0.000489,0.000071,0.188139,0.018814
30,30,30,30,810000,1,11,0.001526,0.000114,0.001806,0.000079,0.844961,0.844961
30,30,30,30,810000,2,11,0.001526,0.000114,0.001197,0.000055,1.274854,0.637427
30,30,30,30,810000,3,11,0.001526,0.000114,0.000941,0.000043,1.621679,0.540560
30,30,30,30,810000,4,11,0.001526,0.000114,0.000839,0.000058,1.818832,0.454708
30,30,30,30,810000,5,11,0.001526,0.000114,0.000878,0.000095,1.738041,0.347608
30,30,30,30,810000,6,11,0.001526,0.000114,0.000859,0.000038,1.776484,0.296081
30,30,30,30,810000,7,11,0.001526,0.000114,0.000832,0.000039,1.834135,0.262019
30,30,30,30,810000,8,11,0.001526,0.000114,0.001695,0.002011,0.900295,0.112537
30,30,30,30,810000,9,11,0.001526,0.000114,0.001253,0.000060,1.217877,0.135320
30,30,30,30,810000,10,11,0.001526,0.000114,0.001211,0.000080,1.260116,0.126012
50,50,50,50,6250000,1,11,0.008306,0.000061,0.008607,0.000042,0.965028,0.965028
50,50,50,50,6250000,2,11,0.008306,0.000061,0.005366,0.000145,1.547894,0.773947
50,50,50,50,6250000,3,11,0.008306,0.000061,0.004415,0.000052,1.881314,0.627105
50,50,50,50,6250000,4,11,0.008306,0.000061,0.004168,0.000240,1.992802,0.498201
50,50,50,50,6250000,5,11,0.008306,0.000061,0.004131,0.000076,2.010651,0.402130
50,50,50,50,6250000,6,11,0.008306,0.000061,0.004083,0.000040,2.034289,0.339048
50,50,50,50,6250000,7,11,0.008306,0.000061,0.004029,0.000075,2.061554,0.294508
50,50,50,50,6250000,8,11,0.008306,0.000061,0.004096,0.000101,2.027832,0.253479
50,50,50,50,6250000,9,11,0.008306,0.000061,0.004804,0.000093,1.728976,0.192108
50,50,50,50,6250000,10,11,0.008306,0.000061,0.004682,0.000105,1.774028,0.177403
70,70,70,70,24010000,1,11,0.027842,0.000154,0.026908,0.000377,1.034711,1.034711
70,70,70,70,24010000,2,11,0.027842,0.000154,0.016395,0.000280,1.698201,0.849100
70,70,70,70,24010000,3,11,0.027842,0.000154,0.013786,0.000137,2.019585,0.673195
70,70,70,70,24010000,4,11,0.027842,0.000154,0.012762,0.000096,2.181633,0.545408
70,70,70,70,24010000,5,11,0.027842,0.000154,0.013292,0.000130,2.094643,0.418929
70,70,70,70,24010000,6,11,0.027842,0.000154,0.012943,0.000060,2.151124,0.358521
70,70,70,70,24010000,7,11,0.027842,0.000154,0.012682,0.000117,2.195395,0.313628
70,70,70,70,24010000,8,11,0.027842,0.000154,0.012939,0.000313,2.151789,0.268974
70,70,70,70,24010000,9,11,0.027842,0.000154,0.014155,0.000132,1.966937,0.218549
70,70,70,70,24010000,10,11,0.027842,0.000154,0.013591,0.000419,2.048562,0.204856
90,90,90,90,65610000,1,11,0.071397,0.000226,0.067293,0.000605,1.060987,1.060987
90,90,90,90,65610000,2,11,0.071397,0.000226,0.043095,0.000703,1.656735,0.828368
90,90,90,90,65610000,3,11,0.071397,0.000226,0.037303,0.000599,1.913975,0.637992
90,90,90,90,65610000,4,11,0.071397,0.000226,0.035771,0.001466,1.995946,0.498987
90,90,90,90,65610000,5,11,0.071397,0.000226,0.036751,0.001190,1.942723,0.388545
90,90,90,90,65610000,6,11,0.071397,0.000226,0.035398,0.000585,2.016978,0.336163
90,90,90,90,65610000,7,11,0.071397,0.000226,0.034611,0.000300,2.062841,0.294692
90,90,90,90,65610000,8,11,0.071397,0.000226,0.035419,0.003101,2.015782,0.251973
90,90,90,90,65610000,9,11,0.071397,0.000226,0.036729,0.000401,1.943886,0.215987
90,90,90,90,65610000,10,11,0.071397,0.000226,0.036162,0.000427,1.974365,0.197437
100,100,100,100,100000000,1,11,0.099251,0.000881,0.091944,0.000333,1.079472,1.079472
100,100,100,100,100000000,2,11,0.099251,0.000881,0.057373,0.000674,1.729925,0.864963
100,100,100,100,100000000,3,11,0.099251,0.000881,0.049430,0.000471,2.007910,0.669303
100,100,100,100,100000000,4,11,0.099251,0.000881,0.046548,0.000470,2.132229,0.533057
100,100,100,100,100000000,5,11,0.099251,0.000881,0.048013,0.000427,2.067169,0.413434
